Resistance ,"Grid currents _A,B,C phases",,,"Rotor currents A,B,C phases",,,"Stator currents A,B,C phases",,,"Grid voltages A,B,C phases",,,Grid Powers,,Rotor Powers,,Stator Powers,,Class.
R,i25a,i25b,i25c,ira,irb,irc,isa,isb,isc,v25a,v25b,v25c,pg,qg,pr,qr,ps,qs,Target
0.01,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,334.0726,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,1
0.02,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,334.0726,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,1
0.04,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,334.0726,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,1
0.06,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,334.0726,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,1
0.08,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,334.0726,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,1
0.1,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,334.0726,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,1
0.12,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,334.0726,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,1
0.14,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,334.0726,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,1
0.16,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,334.0726,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,1
0.18,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,334.0726,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,1
0.2,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,334.0726,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,1
0.22,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,334.0726,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,1
0.24,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,334.0726,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,1
0.26,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,334.0726,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,1
0.28,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,334.0726,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,1
0.3,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,334.0726,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,1
0.4,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,334.0726,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,1
0.5,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,334.0726,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,1
0.6,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,334.0726,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,1
0.7,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,334.0726,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,1
0.8,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,334.0726,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,1
0.9,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,334.0726,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,1
1,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,334.0726,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,1
1.5,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,334.0726,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,1
2,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,334.0726,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,1
2.5,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,334.0726,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,1
3,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,334.0726,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,1
3.5,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,334.0726,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,1
4,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,334.0726,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,1
4.5,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,334.0726,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,1
5,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,334.0726,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,1
5.5,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,334.0726,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,1
6,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,334.0726,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,1
6.5,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,334.0726,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,1
7,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,334.0726,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,1
7.5,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,334.0726,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,1
8,5.1569,3.2233,2.2075,0.0032,0.003,0.0033,0.0035,0.0034,0.0028,842.5337,667.7393,334.0726,1.04E+03,1.54E+03,4.85E-05,5.04E-05,1.35E-04,1.42E-04,1
